mr,ref,group
alien_big;yellowlion_small;money_small,uh E T is on top or it looks what uh the usual alien type uh picture is uh the yellow lion is on the bottom r- left and a pile of money and uh -? bills and coins on the bottom right,04
bluelion_big;lemon_small;eye_small,large blue lion on the top uh an eye on the bottom right and a lemon on the bottom left,04
urn_big;bluemoon_small;yellowmoon_small,alright looks like the Egyptian urn again on top um and a blue crescent moon on the left and a yellow crescent moon on the right,04
alien_big;yellowlion_small;money_small,E T on top a yellow lion on the left and the stack of bills and coins on the uh on the r- bottom right,04
menorah_big;arrow_small;melon_small,uh it's a blue menorah with all of the uh the candles lit on the top uh an arrow on the left and a half a cantaloupe on the right,04
menorah_big;arrow_small;melon_small,okay this one is exactly the same thing the uh menorah on top all? the? everything's lit the arrow on the left and that's that,04
bluemermaid_big;arm_small;onion_small,a blue me- mermaid on the top um someones left arm on the bottom left and a picture of an onion on the bottom right,04
shoe_big;carrot_small;racket_small,there is a uh a reddish pinkish shoe on the top,04
shoe_big;carrot_small;racket_small,um there's there's like a bowling shoe on the top f- uh right uh I'm so- I'm sorry top there's a bowling shoe on the top there's a there's a um there's a carrot on the bottom left and a tennis rack- blue tennis racket on the bottom right,04
mime_big;yarn_small;oreo_small,uh the top has a picture of a mime uh the bottom left is a ball of yarn and the bottom right is an oreo cookie slightly askew,04
shoe_big;wine_small,um top center is a bowling shoe bottom right is um a- a bottle and a glass of wine,04
bluemermaid_big;arm_small;onion_small,uh? on the top is a blue mermaid on the bottom left is a left arm and on the bottom right is an onion alright,04
sunflower_big;microphone_small;microphone_right,uh uu on um on the top is a a sunflower uh bottom left is a blue microphone bottom right is a blue microphone,04
shoe_big;kettle_small;wine_small,uh our favorite bowling shoe is again on top uh the left bottom has a uh tea kettle and the bottom right is a bottle and glass of wine,04
shoe_big;carrot_small;racket_small,okay uh so we got a bowling shoe on the top we got carrots on the bottom left and a- a blue tennis racket on the bottom right,04
mime_big;yarn_small;oreo_small,uh I have a picture of a mime on the top bottom left is a ball of yarn bottom right is an oreo cookie slightly askew,04
loom_big;whale_small;iron_small,uh you have a um uh uh one of those like old fashioned things that makes rugs and on the top and then you got a whale on the bottom left and on the bottom right is an iron it's a loom on top,04
loom_big;whale_small;iron_small,um okay we have the loom up on top and the whale on the bottom left and the blue iron on the bottom right we good we good,04
mm_big;one_small;nine_small,alright so you got the yellow M and M guy on the top and you got a one on the bottom left and a nine on the bottom right,04
shoe_big;sunflower_small;racket_small,alright a bowling shoe on the top a sunflower on the bottom left and a tennis racket on the bottom right alright we're rocking,04
mm_big;one_small;nine_small,right um same thing as before M and M on the- yellow M and M on the top uh on the top one on the bottom left nine on the bottom right,04
kettle_big;safetypin_small;racket_small,alright a large blue tea kettle on the top a safety pin on the bottom left and a tennis racket on the bottom right,04
racket_big,um a single blue tennis racket on the top,04
limo_big;mirror_small;worm_small,uh a stretch limousine on the top um a mirror on the bottom left and a cartoon snake on the bottom right,04
microphone_big;carrot_small;shoe_small,blue microphone on the top carrot um carrots on the bottom left bowling shoe on the bottom right,04
microphone_big;carrot_small,uh a microphone on the top and carrots on the bottom left,04
limo_big;mirror_small;worm_small,stretch limo on the top uh mirror on the bottom left s- n- uh snake on the bottom right,04
airplane_big;yarn_small;oreo_small,um an airplane on the uh the top a uh ball of yarn on the left and an oreo cookie on the right,04
bluemermaid_big;arm_small;onion_small,mermaid on the top left arm on the bottom left and onion on the bottom right,04
racket_big,um just one picture on this a uh tennis racket,04
yellowrhino_big,um so big Momma Joe yellow rhino,04
lamb_big;knee_small,-? um okay a big white uh lamb on the top and um an arrow pointing to someones r- right elbow on the bottom left,04
yellowrhino_big;ruler_small,um huge uh yellow rhino on the top and um -? piece of a ruler on the bottom right,04
yellowrhino_big;ear_small,um big yellow rhino on the top and someones right ear on the bottom right,04
yellowrhino_big;owl_small,big yellow rhino on the top and ow- white owl on the bottom left,04
yellowrhino_big;owl_small;ear_small,uh big yellow rhino on the top owl on the bottom left right ear on the bottom right,04
lamb_big;windmill_small;llama_small,uh lamb on lamb on the top um black llama on the bottom left windmill on the bottom right,04
yellowrhino_big;owl_small;ruler_small,um big yellow rhino on the top um white owl on the bottom left and piece of a ruler on the bottom right,04
yellowrhino_big;owl_small;ear_middle;ruler_small,so um so you got the big yellow rhino on th- -? on the top and then you have an owl on the bottom left and then you have a right ear on the bottom middle and a piece of ruler on the right- -? bottom right,04
lamb_big;lawnmower_small;arrow_middle;nun_small,um lamb on the top blue lawnmower on the left um bottom left you have a arrow on the bottom center and a nun praying on the bottom right,04
bluelion_big,okay uh one image a large blue lion on the top,04
airplane_big,um outline of a big red airplane on the top,04
airplane_big,um a large red airplane on the top that's it,04
yellowlion_big,big yellow uh lion on top,04
bluelion_big;lemon_small,a large blue lion on top and a lemon on the bottom left,04
yellowlion_big;bluemoon_small,big yellow lion on the top and a um -? blue crescent moon on the bottom left,04
bluelion_big;iron_small,a large blue lion on top and a light blue iron on the bottom right,04
yellowlion_big;lemon_small,-? big yellow lion on the top and lemon on the bottom left,04
yellowlion_big;lemon_small,a large yellow lion on top and a lemon on the bottom left,04
bluelion_big;alien_small,a -? blue -? -? a blue lion on the top E T on the bottom right,04
alien_big;eye_small,a large E T and an eye on the bottom right,04
yellowlion_big;bluemoon_small;iron_small,big yellow lion on the top blue crescent roo- -? moon on the bottom left and an iron on the bottom right,04
bluelion_big;lemon_small;yellowmoon_small,large blue lion on top a lemon on the left and a yellow moon on the right,04
bluelion_big;lemon_small;yellowmoon_small,a b- blue um blue lion on the top uh lemon on the bottom left and yellow crescent moon on the bottom right,04
pineapple_big;sock_small,alright large pineapple on top and a black sock on the bottom right,04
nail_big;lime_small;money_small,big nail on the top um uh a lime on the bottom left and money on the bottom right,04
bluelion_big;lemon_small;iron_small,alright uh we've got the blue lion on top uh the lemon on the bottom left and the iron on the bottom right,04
yellowlion_big;lemon_small;money_small,a yellow lion on the top l- lemon on the bottom left money on the bottom right,04
nail_big;lime_small;money_small,and the pile of money on the bottom right alright,04
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,yellow lion on the top um lime on the bottom left lemon in the bottom middle and a yellow crescent moon on the bottom right,04
bluelion_big;bluemoon_small;lemon_middle;iron_small,a large blue lion on top a blue moon on the left a lemon in the middle and an iron on the right alright good one,04
bluelion_big;lemon_small;yellowmoon_small,uh blue lion on the top uh lemon on the bottom left yellow crescent moon on the bottom right,04
bluelion_big;lemon_small,alright a uh blue lion on top and a lemon on the left,04
yellowlion_big;bluemoon_small,um yellow lion on the top and -? blue m- uh blue crescent moon on the bottom left,04
bluemermaid_big;arm_small,a blue mermaid on the top and a left arm on the bottom left,04
mime_big;onion_small,okay uh the face of a mime on top and an onion on the bottom right,04
bluemermaid_big;worm_small,blue mermaid on top and the cartoon snake on the bottom right,04
onion_big;oreo_small,okay uh -? the onion on the top and an oreo cookie on the bottom right,04
yarn_big;bluemermaid_small,ball of yarn on top and blue mermaid on the left,04
loom_big;lily_small,uh loom on the top and a flower on the right,04
mm_big;whale_small,um our favorite M and M guy on the top and a whale on the left,04
arm_big;lily_small,left arm on top and flower on the bottom right,04
mirror_big;mm_small,a mirror on top and the M and M guy on the bottom right,04
yellowrhino_big;owl_small,alright uh big yellow rhino on the top and a white owl on the bottom left,04
ear_big;yellowrhino_small,excuse me an ear on the top and a yellow rhino on the left,04
ruler_big;ear_small,piece of a ruler on the top uh right ear on the bottom right,04
ruler_big;one_small,ruler on the top and the number one on the bottom left a ruler on top and the number one on the bottom left,04
zebra_big;toilet_small,zebra on top uh toilet on the bottom right,04
sunflower_big;belt_small;microphone_small,uh sunflower on the top microphone on the left and a belt on the right,04
lamb_big;knee_small,uh white um uh l- lamb on the top and um right elbow on the bottom left,04
windmill_big;knee_small,a windmill on the top and a knee with an arrow pointing to it on the bottom left,04
microphone_big;sunflower_small;belt_small,microphone on the top sunflower on the bottom left belt on the bottom right,04
bluemailman_big;lawnmower_small,uh we have a mailman a blue mailman on the top and a blue lawnmower on the bottom left,04
lawnmower_big;nun_small,a blue lawnmower on the top nun on the bottom right,04
llama_big;limo_small,uh I guess what is that a llama a llama on the top and a stretch limo on the bottom left,04
nun_big;strawberry_small,on the top and a strawberry on the bottom right,04
zebra_big;toilet_small,uh zebra on top and a toilet bowl on the righ- bottom right,04
nail_big;owl_small,a n- nail on the top owl on the bottom left,04
limo_big;nine_small,stretch limo on top and the number nine on the bottom right,04
lei_big;llama_small,um uh like a ring of flowers on the top and llama on the bottom left,04
lamb_big;nail_small,uh a lamb on the top and a nail on the bottom right,04
nun_big;lily_small,nun on the top flower on the bottom right,04
mirror_big;chair_small,a mirror on top and a chair on the bottom right,04
lamb_big;nail_small,uh lamb on the top nail on the bottom right,04
lily_big;knee_small,alright there's a flower on the top and a knee with an arrow pointing to it on the bottom left,04
llama_big;limo_small,uh llama on the top and limo on the bottom left um oh okay,04
lei_big;mirror_small,uh this is the uh uh -? ring of flowers or wreath of flowers on the top and a mirror on the bottom left,04
bluelion_big;lemon_small;eye_small,okay the first card I have uh on top is a blue lion and uh on the bottom uh is a lemon and an eyeball,05
iron_big;lime_small;nail_small,okay the next one on top is an iron like you iron clothes with and on the bottom is a lime a green lime and uh a nail like uh you'd hit with a hammer,05
urn_big;bluemoon_small;yellowmoon_small,okay on top is um a vase like a- a Egyptian style vase and then on the bottom on the uh left is a blue moon and on the right is a yellow moon,05
iron_big;lime_small;nail_small,okay uh next one on top is uh the iron and on the bottom is the lime and uh the nail,05
alien_big;yellowlion_small;money_small,okay so this one ah on top is an alien and then on the bottom left is a yellow lion and uh there's like a stack of money on the bottom right,05
bluelion_big;lemon_small;eye_small,okay the next one is a blue lion on top and on the bottom is a lemon and an eyeball,05
urn_big;bluemoon_small;yellowmoon_small,okay so this one is the Egyptian vase on the top and the blue moon and the yellow moon,05
alien_big;yellowlion_small;money_small,okay this one is the alien on top with the lion and the stack of money,05
menorah_big;arrow_small;melon_small,okay so this one on top is a- a menorah and on the bottom uh is an arrow and uh like a cantaloupe some melon with some seeds in it,05
menorah_big;arrow_small;melon_small,uh the next one is that same one we just saw the menorah the arrow and the uh the melon,05
bluemermaid_big;arm_small;onion_small,okay on this card there is on top a -? blue mermaid uh in the lower left corner an arm and opposite that is an onion,05
shoe_big;carrot_small;racket_small,okay this card on uh top is a red and white shoe er a red white and purple shoe and then on bottom is some carrots and a tennis racket,05
shoe_big;carrot_small;racket_small,okay this card has on the top a red oxford below that to the left is a bunch of carrots and opposite the carrots is a tennis racket,05
mime_big;yarn_small;oreo_small,okay on top uh is a mime uh with a white face uh and below that is a ball of yarn and an oreo cookie,05
shoe_big;wine_small,okay on this card is a sh- uh a red and white shoe the oxford and below that in th- the lower right corner is a bottle of wine and a glass filled with wine,05
bluemermaid_big;arm_small;onion_small,okay this card on top is a mermaid and then on the bottom is an arm and an onion,05
sunflower_big;microphone_small;microphone_right,okay um on this card on the top is a sunflower and below that in either corner are mic- is a microphone,05
shoe_big;kettle_small;wine_small,okay um on top is the shoe that we've seen before and on the bottom is a teapot on one side and a- a glass of wine and a bottle of wine on the other side,05
shoe_big;carrot_small;racket_small,okay on this card is a- is a shoe the oxford below that is a bunch of carrots and opposite that is- is a tennis racket,05
mime_big;yarn_small;oreo_small,okay so this card uh on top has the mime and then uh underneath is the ball of yarn and the oreo cookie,05
loom_big;whale_small;iron_small,this card has on top um a loom with somebody weaving and below that is a whale and an iron,05
loom_big;whale_small;iron_small,okay on this card I have on top is the loom and then underneath is a whale and the iron cool,05
mm_big;one_small;nine_small,okay this card has an M and M and below that the numbers one and nine,05
shoe_big;sunflower_small;racket_small,okay on top uh I have a shoe and on the bottom is a sunflower and a tennis racket,05
mm_big;one_small;nine_small,don't have it okay this card is an M and M and below that are the numbers one and nine,05
kettle_big;safetypin_small;racket_small,okay on top is the teapot and uh underneath of that is the safety pin and the tennis racket,05
racket_big,this card has a tennis racket yep,05
limo_big;mirror_small;worm_small,okay uh this one on top is a limousine and on the bottom is a- a picture frame and like uh a snake or a worm cartoon,05
microphone_big;carrot_small;shoe_small,okay this card has on top a microphone and below it um a bunch of carrots and a shoe,05
microphone_big;carrot_small,okay this one on top is a microphone and underneath is carrots,05
limo_big;mirror_small;worm_small,okay this card has a limousine on top and below it a snake and a mirror,05
airplane_big;yarn_small;oreo_small,okay this card on the top is an airplane and underneath is yarn and an oreo cookie,05
bluemermaid_big;arm_small;onion_small,this card has a mermaid on top and w- and below is an arm and an onion,05
racket_big,okay um my last card here has just a tennis racket on it,05
yellowrhino_big,okay it's a yellow rhinoceros,05
lamb_big;knee_small,okay this card has on top a a fluffy sheep and below it um a lower limb with an arrow pointing to the kn- kneecap,05
yellowrhino_big;ruler_small,this card has a yellow rhinoceros on top and in in the in the right corner has a uh ruler,05
yellowrhino_big;ear_small,okay this card once again has the yellow rhinoceros on the top and there is now a uh human ear in the lower corner beni- beneath it,05
yellowrhino_big;owl_small,the yellow rhinoceros on top and an owl perched on a tree limb in the lower left,05
yellowrhino_big;owl_small;ear_small,this card shows the rhinoceros the ear and the great horned owl beneath it,05
lamb_big;windmill_small;llama_small,okay uh this card has on top a lamb and beneath it a windmill and a llama,05
yellowrhino_big;owl_small;ruler_small,this card has a rhinoceros a ruler and the great horned owl is on top,05
yellowrhino_big;owl_small;ear_middle;ruler_small,okay this card has on top the rhinoc- the rhinoceros and below that is the great horned owl an ear and a ruler,05
lamb_big;lawnmower_small;arrow_middle;nun_small,this card shows a lamb on top and beneath it is uh an electric lawnmower or a gas powered m- mower power mower,05
bluelion_big,ah okay back to the other game okay so this is just a blue lion on the top,05
airplane_big,didn't have it okay this card shows just an the outline the silhouette of an airplane,05
airplane_big,okay now I have just the silhouette of the airplane,05
yellowlion_big,okay this card has a yellow lion on it,05
bluelion_big;lemon_small,okay so this card has a blue lion on top and a yellow lemon underneath it,05
yellowlion_big;bluemoon_small,this card has the yellow lion on top and in the lower c- left corner is a blue moon,05
bluelion_big;iron_small,okay up top I have a blue lion and on the bottom I have an iron,05
yellowlion_big;lemon_small,this card had a yellow lion on top and a lemon um in the bottom left corner,05
yellowlion_big;lemon_small,okay this card has a yellow lion up on the top and a uh yellow lemon underneath okay,05
bluelion_big;alien_small,this card has a blue lion on top and an alien in the lower right corner,05
alien_big;eye_small,okay this card has an alien on the top and an eye- ball down in the bottom right,05
yellowlion_big;bluemoon_small;iron_small,this card has on top the yellow lion and beneath it is a blue moon and an iron,05
bluelion_big;lemon_small;yellowmoon_small,okay this is a blue lion on top and a lemon and a yellow moon on the bottom,05
bluelion_big;lemon_small;yellowmoon_small,this card has a blue lion on top and beneath it is a lemon and a yellow moon,05
pineapple_big;sock_small,okay this picture has a pineapple on top and a sock -? in the lower right,05
nail_big;lime_small;money_small,this card has on the top a nail and beneath it a lime and ?- opposite that is is a pile of money,05
bluelion_big;lemon_small;iron_small,okay this card has a blue lion on top and below it is a lemon and an iron did I say blue lemon I meant yellow ye- lemon if I did,05
yellowlion_big;lemon_small;money_small,okay this card has a yellow lion a lemon and a pile of money,05
nail_big;lime_small;money_small,okay this card has a nail on the top a lime in the lower left and a pile of money in the lower right,05
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,this card has on top a lion and beneath it is a lime a lemon and a yellow moon,05
bluelion_big;bluemoon_small;lemon_middle;iron_small,okay so now I on top have a blue lion and underneath that from left to right is a blue moon the lemon and the iron,05
bluelion_big;lemon_small;yellowmoon_small,okay this card has a blue lion a lemon and opposite the lemon in the right corner is a yellow moon,05
bluelion_big;lemon_small,okay so in this one I have a blue lion and a lemon,05
yellowlion_big;bluemoon_small,this card has a yellow lion and beneath it a blue moon,05
bluemermaid_big;arm_small,okay so our first card has a mermaid on top and an arm on the lower left blue mermaid I think,05
mime_big;onion_small,okay this on top is the mime and below that is on the lower right is the onion,05
bluemermaid_big;worm_small,okay on top is the blue mermaid and on the lower right is the worm or snake,05
onion_big;oreo_small,okay next one uh is an onion on top and the bottom right is an oreo,05
yarn_big;bluemermaid_small,okay next one is a ball of yarn on top and the blue mermaid on the bottom,05
loom_big;lily_small,next one is the loom on the top and a flower on the bottom right,05
mm_big;whale_small,okay on top is the M and M guy and below is the whale,05
arm_big;lily_small,okay on top is the arm and below is a flower,05
mirror_big;mm_small,okay on top is the uh frame or mirror and on the bottom is the M and M guy,05
yellowrhino_big;owl_small,okay this card has um a yellow rhinoceros and a great horned owl in the lower left corner,05
ear_big;yellowrhino_small,okay this card on top uh is the ear and below is the yellow rhinoceros,05
ruler_big;ear_small,this card has on top uh the ruler and below that in the right corner lower right corner is the ear,05
ruler_big;one_small,okay so this one on top is the ruler and on the bottom is the number one,05
zebra_big;toilet_small,this card has on top a zebra and in the lower right corner a toilet,05
sunflower_big;belt_small;microphone_small,okay this one on top is a sunflower on the bottom is a microphone and a belt,05
lamb_big;knee_small,this card has a sheep on top and a human knee in the lower left corner with an arrow pointing at the kneecap,05
windmill_big;knee_small,okay this one is a windmill on top and the human knee on the bottom left,05
microphone_big;sunflower_small;belt_small,this uh card has the microphone a sunflower and a belt,05
bluemailman_big;lawnmower_small,okay this one on top uh is a mailman and a blue mailman and? the bottom is a uh lawnmower,05
lawnmower_big;nun_small,this card has the lawnmower on top and beneath it the nun,05
llama_big;limo_small,okay this one on top is the llama and below that's the limousine,05
nun_big;strawberry_small,this card has the sister on top and a strawberry in the lower right corner,05
zebra_big;toilet_small,okay this one is a zebra on top and a toilet below it,05
nail_big;owl_small,this has um the image of a nail and the hor- great horned owl underneath it,05
limo_big;nine_small,okay this one has the limousine on top and the number nine below it,05
lei_big;llama_small,this uh sho- the graphic shows a bracelet and or a or a no excuse me a flower lei and a llama in the lower left corner,05
lamb_big;nail_small,okay this one uh is the baby sheep on the top and the nail on the bottom,05
nun_big;lily_small,this card has the nun and a flower,05
mirror_big;chair_small,okay this is the picture frame on top and the and a um like a desk chair below it,05
lamb_big;nail_small,this card has the lamb on top and in the lower right corner a nail,05
lily_big;knee_small,okay this one's a flower on top and a knee below,05
llama_big;limo_small,this card has a llama on top and a limousine below,05
lei_big;mirror_small,okay this one has the flower lei on top and the picture frame below,05
bluelion_big;lemon_small;eye_small,okay this card has on top a blue lion lower left corner a lemon and an eye lower right,06
iron_big;lime_small;nail_small,this card has an iron on top a lime bottom left and a nail bottom right,06
urn_big;bluemoon_small;yellowmoon_small,this card has on the top a vase or an urn um a blue moon bottom left a yellow moon bottom right,06
iron_big;lime_small;nail_small,-? -? um iron on top lemon lower left a nail lower right,06
alien_big;yellowlion_small;money_small,alien on top yellow lion lower left stack of money lower right,06
bluelion_big;lemon_small;eye_small,blue lion on top lemon lower left eye lower right,06
urn_big;bluemoon_small;yellowmoon_small,vase upper mm- center uh blue moon lower left yellow moon lower right,06
alien_big;yellowlion_small;money_small,alien middle of picture yellow lion lower left money lower right,06
menorah_big;arrow_small;melon_small,menorah -? upper arrow lower left cantaloupe lower right,06
menorah_big;arrow_small;melon_small,and we have menorah upper lower left is an arrow lower right is a cantaloupe,06
bluemermaid_big;arm_small;onion_small,alright um on top we have a blue mermaid the bottom left we have a left arm and in the bottom right is an onion,06
shoe_big;carrot_small;racket_small,this card has a shoe on top a bunch of carrots bottom left a tennis racket lower right,06
shoe_big;carrot_small;racket_small,alright uh a shoe on top carrots on the bottom left and a tennis racket on the bottom right,06
mime_big;yarn_small;oreo_small,a mime on top a ball of yarn lower left an oreo cookie lower right,06
shoe_big;wine_small,uh we have a shoe on top and on the bottom right is a bottle of wine with the glass half filled,06
bluemermaid_big;arm_small;onion_small,a blue mermaid on top an arm lower left an onion lower right,06
sunflower_big;microphone_small;microphone_right,alright points we're rich um on top is a sunflower and in the bottom left is a microphone and another microphone in the bottom right,06
shoe_big;kettle_small;wine_small,uh a shoe on top bottom left is a tea kettle bottom right is a bottle of wine uu with the glass half filled,06
shoe_big;carrot_small;racket_small,uh we have a shoe on top carrots on the bottom left and a tennis racket on the bottom right,06
mime_big;yarn_small;oreo_small,we have a mime on top ball of yarn lower left oreo cookie low- lower right,06
loom_big;whale_small;iron_small,a uh a weaving loom on top a whale on the bottom left and an iron on the bottom right,06
loom_big;whale_small;iron_small,we have a uh a loom on top a whale -? uh lower left and an iron low- lower right,06
mm_big;one_small;nine_small,um an M and M guy on the top the numeral one on the bottom left and the numeral nine on the bottom right,06
shoe_big;sunflower_small;racket_small,a shoe on top a sunflower lower left a tennis racket lower right,06
mm_big;one_small;nine_small,okay um hm same thing as last time a the M and M guy on the top the numeral one on the bottom left the numeral nine on the bottom right,06
kettle_big;safetypin_small;racket_small,a tea kettle on top a safety pin lower left tennis racket lower right,06
racket_big,uh this one just has a tennis racket on top nothing else,06
limo_big;mirror_small;worm_small,uh stretch limousine on top a mirror lower left and a lovelorn snake bottom right,06
microphone_big;carrot_small;shoe_small,um okay a microphone on top carrots on the bottom left and a shoe on the bottom right,06
microphone_big;carrot_small,okay this is a microphone on top and a bunch o' carrots lower left,06
limo_big;mirror_small;worm_small,uh a stretch limousine on top mirror on the bottom left and that lovelorn snake on the bottom right,06
airplane_big;yarn_small;oreo_small,an aeroplane on top ball o' yarn lower left and the oreo cookie lower right you know,06
bluemermaid_big;arm_small;onion_small,alright uh mermaid on top uh left arm on the bottom left and an onion on the bottom right,06
racket_big,and here we have the lovely tennis racket,06
yellowrhino_big,alright um I have a card with a yellow rhinoceros on top,06
lamb_big;knee_small,uh this one has a lamb on top and a picture of a knee with an arrow pointing to it on the bottom left,06
yellowrhino_big;ruler_small,okay next card has the yellow rhinoceros on top and a ruler on the bottom right,06
yellowrhino_big;ear_small,this one has the rhino on top and an ear on the bottom right,06
yellowrhino_big;owl_small,uh the rhino again on top and this time it's an owl on the bottom left,06
yellowrhino_big;owl_small;ear_small,and the rhino's on top again an owl in the bottom left and an ear in the bottom right,06
lamb_big;windmill_small;llama_small,alright uh this one is a sheep on top uh a llama on the bottom left and a windmill on the bottom right,06
yellowrhino_big;owl_small;ruler_small,rhino on top owl on the bottom left and a ruler on the bottom right,06
yellowrhino_big;owl_small;ear_middle;ruler_small,uh this one has four images rhino on top an owl an ear and a ruler,06
lamb_big;lawnmower_small;arrow_middle;nun_small,uh sheep on top lawnmower on the bottom left arrow in the midum- um on the middle and a nun on the right,06
bluelion_big,a blue lion,06
airplane_big,uh an airplane on top that's it,06
airplane_big,airplane on top nothing else,06
yellowlion_big,uh this one just has the yellow lion on top,06
bluelion_big;lemon_small,has the blue lion on top and a lemon lower left,06
yellowlion_big;bluemoon_small,yellow lion on top and a blue moon on the bottom left,06
bluelion_big;iron_small,blue lion on top iron lower right,06
yellowlion_big;lemon_small,yellow lion on top and a lemon on the bottom left,06
yellowlion_big;lemon_small,yellow lion on top lemon lower left,06
bluelion_big;alien_small,uh this one is a blue lion on top and an alien on the bottom right,06
alien_big;eye_small,this card has an alien on top and an eye lower right yeah,06
yellowlion_big;bluemoon_small;iron_small,alright a yellow lion on top a blue moon on the bottom left and an iron on the bottom right,06
bluelion_big;lemon_small;yellowmoon_small,it's a blue lion on top lemon lower left yellow moon lower right,06
bluelion_big;lemon_small;yellowmoon_small,a blue lion on top a lemon on the lower left and a yellow moon on the bottom right,06
pineapple_big;sock_small,pineapple on top sock lower right,06
nail_big;lime_small;money_small,uh this one has a nail on top a lime on the bottom left and a stack of money on the bottom right,06
bluelion_big;lemon_small;iron_small,uh blue lion on top lemon lower left iron lower right,06
yellowlion_big;lemon_small;money_small,a yellow lion on top a lemon on the bottom left and a stack of money on the bottom right,06
nail_big;lime_small;money_small,a nail on top a lime lower left corner and a pile of money lower right,06
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,alright uh yellow lion on top and from left to right on the bottom there's a lime a lemon and a yellow moon,06
bluelion_big;bluemoon_small;lemon_middle;iron_small,oh okay this has a? blue lion on top with a blue moon lower left center lemon low- low- ce- lower right iron,06
bluelion_big;lemon_small;yellowmoon_small,okay blue lion on top a lemon on the lower left yellow moon on the lower right,06
bluelion_big;lemon_small,blue lion on top lemon lower left,06
yellowlion_big;bluemoon_small,yeah uh yellow lion on top uh blue moon on the bottom left it's the last card pick anything with a yellow lion on top if you have it,06
bluemermaid_big;arm_small,uh this has a blue mermaid and a severed left arm,06
mime_big;onion_small,this has a shrieking mime and an onion,06
bluemermaid_big;worm_small,this has a blue mermaid and in the lower le- right corner is that snake,06
onion_big;oreo_small,and now we h- come to the lovely um uh onion on top and the oreo cookie lower right I want that oreo cookie,06
yarn_big;bluemermaid_small,um here we have a ball of yarn and on top and the blue mermaid lower left,06
loom_big;lily_small,is that ?- um we have a loom on top and a lily lower right,06
mm_big;whale_small,on top and a whale lower left,06
arm_big;lily_small,here we have the uh the lovely severed left arm on top and the lily lower right,06
mirror_big;mm_small,and now we come to the uh mirror on top and the uh spooked M and M guy,06
yellowrhino_big;owl_small,the uh yellow rhino on top and an owl on the left what happened,06
ear_big;yellowrhino_small,um an ear on top and a yellow rhino in the lower left corner,06
ruler_big;ear_small,okay uh a ruler on top and an ear on the bottom right,06
ruler_big;one_small,oh man this is a ruler on top and the number one lower left they really hate me today,06
zebra_big;toilet_small,okay a zebra on top and a toilet bowl on the bottom right mmhm,06
sunflower_big;belt_small;microphone_small,I am not Pavlovs dog we have a sunflower on top a microphone lower left and a belt lower right,06
lamb_big;knee_small,a lamb on top and a knee with an arrow pointing to it on the bottom left,06
windmill_big;knee_small,now that I know how this game works you hate me a windmill on top and a knee uh lower left,06
microphone_big;sunflower_small;belt_small,uh microphone on top sunflower on the bottom left and a belt on the bottom right,06
bluemailman_big;lawnmower_small,this has a a blue postman on top and a lawnmower lower left,06
lawnmower_big;nun_small,a lawnmower on top and a nun on the bottom right,06
llama_big;limo_small,this has a llama on top and a limousine lower left,06
nun_big;strawberry_small,uh a nun on top and a strawberry on the bottom right,06
zebra_big;toilet_small,a zebra on top and a toilet lower left lower right rather,06
nail_big;owl_small,uh a nail on top and an owl on the bottom left,06
limo_big;nine_small,a limousine on top the number nine lower right,06
lei_big;llama_small,a uh a ring of flowers on top and a llama on the bottom left,06
lamb_big;nail_small,so a sheep on top and a nail lower right,06
nun_big;lily_small,a nun on top and a lily on the bottom right,06
mirror_big;chair_small,this has a uh a mirror on top and an office chair lower right,06
lamb_big;nail_small,a lamb on top and a nail on the bottom right,06
lily_big;knee_small,a lily on top a knee lower left,06
llama_big;limo_small,llama on top and a stretch limo on the bottom left,06
lei_big;mirror_small,a a flower lei on top that's a necklace of flowers and a mirror lower left,06
bluelion_big;lemon_small;eye_small,okay I have a big blue lion in the middle of the card and then on the lower left corner there's a lemon and then on the lower right corner there's a eye,07
iron_big;lime_small;nail_small,okay um I have a big blue iron in the middle on the lower left corner there's a lemon,07
urn_big;bluemoon_small;yellowmoon_small,okay I have um in the middle a bl- black and orange vase with two handles and on the lower left corner there's a blue crescent moon and on the lower right corner there's a yellow crescent moon,07
iron_big;lime_small;nail_small,okay in the middle of the card I have the blue iron I have on the lower left corner a lemon and on the lower right corner a nail,07
alien_big;yellowlion_small;money_small,and on the lower right corner there's a stack of dollars and gold coins,07
bluelion_big;lemon_small;eye_small,okay on the middle of the card I have a blue lion,07
urn_big;bluemoon_small;yellowmoon_small,lower left corner blue crescent and lower right corner yellow crescent,07
alien_big;yellowlion_small;money_small,um left corner yellow lion and the right corner stack of money and gold coins,07
menorah_big;arrow_small;melon_small,okay um on the middle of the card I have a menorah and on the lower left card I have an arrow and on the lower right part of the card I have half of a fruit maybe a melon sliced in,07
menorah_big;arrow_small;melon_small,okay um I have the same exact card again,07
bluemermaid_big;arm_small;onion_small,um I have a floating mermaid she's blue and- and blue and black and um I have an- an an arm amputated arm in the lower left and a onion looking thing in the lower right,07
shoe_big;carrot_small;racket_small,okay I have a funky looking red and purple shoe with the shoe laces in the middle um three carrots on the lower left corner and a tennis racket on the lower right corner,07
